[Gene ID],[source_id],[Genomic Location (Gene)],[Product Description],[NN Summary Score],[NN D-Score],[HMM Signal Probability],[Met Search Criteria]
PF3D7_0702000,PF3D7_0702000.1,"Pf3D7_07_v3:84,797..85,674(+)","Plasmodium exported protein (hyp12), unknown function",2,0.52,0.55,Y
PF3D7_0702300,PF3D7_0702300.1,"Pf3D7_07_v3:96,761..98,730(+)",sporozoite threonine and asparagine-rich protein,3,0.67,0.09,Y
PF3D7_0702600,PF3D7_0702600.1,"Pf3D7_07_v3:109,915..110,178(+)","chitinase precursor fragment, truncated",4,0.84,0.98,Y
PF3D7_0702900,PF3D7_0702900.1,"Pf3D7_07_v3:113,144..113,948(-)","centrin, putative",4,0.92,0.98,Y
PF3D7_0704300,PF3D7_0704300.1,"Pf3D7_07_v3:197,691..203,249(+)","conserved Plasmodium membrane protein, unknown function",3,0.4,0,Y
PF3D7_0704900,PF3D7_0704900.1,"Pf3D7_07_v3:243,898..245,016(-)",peptide chain release factor 2,4,0.8,0.84,Y
PF3D7_0705800,PF3D7_0705800.1,"Pf3D7_07_v3:287,597..289,088(-)","cysteine-rich secretory protein, putative",4,0.84,0.82,Y
PF3D7_0706100,PF3D7_0706100.1,"Pf3D7_07_v3:297,506..303,059(-)","conserved Plasmodium protein, unknown function",4,0.78,0.77,Y
PF3D7_0707300,PF3D7_0707300.1,"Pf3D7_07_v3:338,885..342,083(+)",rhoptry-associated membrane antigen,3,0.61,0.93,Y
PF3D7_0707800,PF3D7_0707800.1,"Pf3D7_07_v3:362,005..365,779(+)","RAP protein, putative",4,0.86,0.01,Y
PF3D7_0709100,PF3D7_0709100.1,"Pf3D7_07_v3:408,215..411,961(+)",Cg1 protein,3,0.65,0.83,Y
PF3D7_0709800,PF3D7_0709800.1,"Pf3D7_07_v3:437,900..438,094(+)","conserved protein, unknown function",3,0.58,0.76,Y
PF3D7_0710300,PF3D7_0710300.1,"Pf3D7_07_v3:472,501..473,541(-)","conserved Plasmodium membrane protein, unknown function",3,0.62,0.99,Y
PF3D7_0710500,PF3D7_0710500.1,"Pf3D7_07_v3:476,116..477,552(-)","conserved Plasmodium protein, unknown function",2,0.58,0.46,Y
PF3D7_0711000,PF3D7_0711000.1,"Pf3D7_07_v3:487,281..490,970(-)","AAA family ATPase, CDC48 subfamily",4,0.71,0.13,Y
PF3D7_0711900,PF3D7_0711900.1,"Pf3D7_07_v3:525,063..526,320(-)","rifin, pseudogene",2,0.61,0.06,Y
PF3D7_0712200,PF3D7_0712200.1,"Pf3D7_07_v3:540,343..541,541(-)","rifin, pseudogene",3,0.57,0.01,Y
PF3D7_0712500,PF3D7_0712500.1,"Pf3D7_07_v3:562,906..564,160(-)","rifin, pseudogene",2,0.58,0.23,Y
PF3D7_0713000,PF3D7_0713000.1,"Pf3D7_07_v3:602,141..603,381(+)",rifin,3,0.61,0.38,Y
PF3D7_0713100,PF3D7_0713100.1,"Pf3D7_07_v3:605,653..606,440(+)",Pfmc-2TM Maurer's cleft two transmembrane protein,3,0.54,0.02,Y
PF3D7_0713400,PF3D7_0713400.1,"Pf3D7_07_v3:612,458..613,740(+)",GPCR-like receptor SR25,4,0.77,0.65,Y
PF3D7_0713700,PF3D7_0713700.1,"Pf3D7_07_v3:621,463..623,521(-)","conserved Plasmodium protein, unknown function",4,0.88,0.99,Y
PF3D7_0715200,PF3D7_0715200.1,"Pf3D7_07_v3:676,061..682,681(-)","conserved Plasmodium protein, unknown function",4,0.69,0.93,Y
PF3D7_0715400,PF3D7_0715400.1,"Pf3D7_07_v3:687,891..688,848(-)","secreted ookinete protein, putative",4,0.82,0.96,Y
PF3D7_0716300,PF3D7_0716300.1,"Pf3D7_07_v3:717,281..718,968(+)","conserved Plasmodium protein, unknown function",4,0.67,0.96,Y
PF3D7_0716600,PF3D7_0716600.1,"Pf3D7_07_v3:725,296..727,219(+)",cysteine desulfurase,4,0.74,0.5,Y
PF3D7_0716900,PF3D7_0716900.1,"Pf3D7_07_v3:736,370..737,338(+)",drug/metabolite transporter DMT2,4,0.7,0.55,Y
PF3D7_0718300,PF3D7_0718300.1,"Pf3D7_07_v3:812,301..820,635(-)",cysteine repeat modular protein 2,4,0.63,0.82,Y
PF3D7_0719400,PF3D7_0719400.1,"Pf3D7_07_v3:848,398..853,593(-)","conserved Plasmodium protein, unknown function",4,0.68,0.48,Y
PF3D7_0719800,PF3D7_0719800.1,"Pf3D7_07_v3:863,452..864,813(-)","conserved Plasmodium protein, unknown function",2,0.62,0.04,Y
PF3D7_0721100,PF3D7_0721100.1,"Pf3D7_07_v3:916,434..917,168(+)","conserved Plasmodium protein, unknown function",4,0.84,0.97,Y
PF3D7_0721700,PF3D7_0721700.1,"Pf3D7_07_v3:935,497..936,900(+)","secreted ookinete protein, putative",4,0.87,1,Y
PF3D7_0721900,PF3D7_0721900.1,"Pf3D7_07_v3:939,715..940,250(-)","V-type ATPase V0 subunit e, putative",3,0.51,0,Y
PF3D7_0722200,PF3D7_0722200.1,"Pf3D7_07_v3:946,363..948,612(+)",rhoptry-associated leucine zipper-like protein 1,3,0.68,0.46,Y
PF3D7_0722800,PF3D7_0722800.1,"Pf3D7_07_v3:963,370..965,109(+)","conserved Plasmodium protein, unknown function",4,0.67,0.89,Y
PF3D7_0723200,PF3D7_0723200.1,"Pf3D7_07_v3:972,658..974,272(+)","conserved Plasmodium protein, unknown function",4,0.81,0.92,Y
PF3D7_0723700,PF3D7_0723700.1,"Pf3D7_07_v3:988,145..991,243(+)","metallo-hydrolase/oxidoreductase, putative",4,0.54,0.1,Y
PF3D7_0724400,PF3D7_0724400.1,"Pf3D7_07_v3:1,023,651..1,024,121(+)","mitochondrial import inner membrane translocase subunit TIM14, putative",2,0.49,0.52,Y
PF3D7_0725400,PF3D7_0725400.1,"Pf3D7_07_v3:1,079,015..1,080,055(+)","conserved Plasmodium protein, unknown function",2,0.57,0.08,Y
PF3D7_0726700,PF3D7_0726700.1,"Pf3D7_07_v3:1,143,303..1,143,815(-)","conserved Plasmodium protein, unknown function",3,0.61,0.98,Y
PF3D7_0727100,PF3D7_0727100.1,"Pf3D7_07_v3:1,152,155..1,155,355(-)","conserved Plasmodium protein, unknown function",3,0.59,0.29,Y
PF3D7_0727500,PF3D7_0727500.1,"Pf3D7_07_v3:1,164,455..1,166,578(-)","mTERF domain-containing protein, putative",3,0.7,0.77,Y
PF3D7_0728800,PF3D7_0728800.1,"Pf3D7_07_v3:1,230,589..1,232,180(+)","conserved Plasmodium protein, unknown function",3,0.65,0.71,Y
PF3D7_0729200,PF3D7_0729200.1,"Pf3D7_07_v3:1,247,398..1,248,264(+)",1-cys peroxiredoxin,4,0.83,0.82,Y
PF3D7_0730800,PF3D7_0730800.1,"Pf3D7_07_v3:1,321,306..1,322,367(+)","Plasmodium exported protein, unknown function, unspecified product",2,0.52,0.92,Y
PF3D7_0730800,PF3D7_0730800.2,"Pf3D7_07_v3:1,321,306..1,322,367(+)","Plasmodium exported protein, unknown function, unspecified product",2,0.51,0.78,Y
PF3D7_0731500,PF3D7_0731500.1,"Pf3D7_07_v3:1,358,055..1,362,929(+)",erythrocyte binding antigen-175,4,0.67,0.43,Y
PF3D7_0731600,PF3D7_0731600.1,"Pf3D7_07_v3:1,368,161..1,370,596(+)",acyl-CoA synthetase,3,0.65,0.95,Y
PF3D7_0731700,PF3D7_0731700.1,"Pf3D7_07_v3:1,372,063..1,372,760(+)","Plasmodium exported protein (hyp9), unknown function",3,0.66,0.31,Y
PF3D7_0731800,PF3D7_0731800.1,"Pf3D7_07_v3:1,378,618..1,380,769(+)","alpha/beta hydrolase, putative",2,0.55,0.02,Y
PF3D7_0731900,PF3D7_0731900.1,"Pf3D7_07_v3:1,382,410..1,383,524(+)","rifin, pseudogene",4,0.69,0.89,Y
PF3D7_0732000,PF3D7_0732000.1,"Pf3D7_07_v3:1,385,635..1,386,626(+)",stevor,3,0.7,0.53,Y
PF3D7_0732300,PF3D7_0732300.1,"Pf3D7_07_v3:1,396,437..1,397,639(-)",rifin,2,0.58,0.25,Y
PF3D7_0732400,PF3D7_0732400.1,"Pf3D7_07_v3:1,399,452..1,400,682(-)",rifin,3,0.6,0.33,Y
PF3D7_0732500,PF3D7_0732500.1,"Pf3D7_07_v3:1,402,623..1,403,978(-)",rifin,4,0.81,0.98,Y
PF3D7_0732700,PF3D7_0732700.1,"Pf3D7_07_v3:1,408,781..1,409,975(+)",rifin,4,0.71,0.95,Y
PF3D7_0732800,PF3D7_0732800.1,"Pf3D7_07_v3:1,410,435..1,412,231(+)","erythrocyte membrane protein 1 (PfEMP1), exon 2",2,0.53,0.48,Y
PF3D7_0800500,PF3D7_0800500.1,"Pf3D7_08_v3:56,352..57,703(-)",rifin,4,0.66,0.52,Y
PF3D7_0800600,PF3D7_0800600.1,"Pf3D7_08_v3:61,138..62,135(-)","Plasmodium exported protein (PHISTa), unknown function",4,0.58,0,Y
PF3D7_0800800,PF3D7_0800800.1,"Pf3D7_08_v3:79,823..80,642(+)","Plasmodium exported protein (hyp7), unknown function",4,0.48,0,Y
PF3D7_0801300,PF3D7_0801300.1,"Pf3D7_08_v3:101,954..102,826(-)",von Willebrand factor A domain-related protein,4,0.78,0.98,Y
PF3D7_0804400,PF3D7_0804400.1,"Pf3D7_08_v3:245,711..247,933(+)","methionine aminopeptidase 1c, putative",4,0.81,0.98,Y
PF3D7_0805600,PF3D7_0805600.1,"Pf3D7_08_v3:312,034..312,960(+)","PAP2-like protein, putative",4,0.53,0.27,Y
PF3D7_0806200,PF3D7_0806200.1,"Pf3D7_08_v3:333,379..337,727(+)","Dpy-19-like C-mannosyltransferase, putative",3,0.63,0.44,Y
PF3D7_0806900,PF3D7_0806900.1,"Pf3D7_08_v3:368,607..369,746(-)","conserved Plasmodium protein, unknown function",2,0.59,0.22,Y
PF3D7_0807700,PF3D7_0807700.1,"Pf3D7_08_v3:395,648..398,787(-)",serine protease DegP,4,0.71,0.11,Y
PF3D7_0808200,PF3D7_0808200.1,"Pf3D7_08_v3:416,344..418,065(-)",plasmepsin X,3,0.52,0.35,Y
PF3D7_0808800,PF3D7_0808800.1,"Pf3D7_08_v3:450,615..451,899(+)",rifin,2,0.58,0.3,Y
PF3D7_0808900,PF3D7_0808900.1,"Pf3D7_08_v3:453,803..454,919(+)",rifin,2,0.54,0.01,Y
PF3D7_0810100,PF3D7_0810100.1,"Pf3D7_08_v3:519,331..519,991(-)","apicoplast ribosomal protein L33 precursor, putative",4,0.67,0.03,Y
PF3D7_0811600,PF3D7_0811600.1,"Pf3D7_08_v3:582,983..586,953(-)","conserved Plasmodium protein, unknown function",4,0.8,0.99,Y
PF3D7_0811900,PF3D7_0811900.1,"Pf3D7_08_v3:596,190..600,328(+)","RNA-binding protein, putative",4,0.84,0.82,Y
PF3D7_0812220,PF3D7_0812220.1,"Pf3D7_08_v3:613,325..614,862(-)","GTPase, putative",4,0.56,0.01,Y
PF3D7_0812300,PF3D7_0812300.1,"Pf3D7_08_v3:618,843..620,228(-)","sporozoite surface protein 3, putative",4,0.87,0.98,Y
PF3D7_0813700,PF3D7_0813700.1,"Pf3D7_08_v3:671,157..675,416(-)","ABC transporter F family member 1, putative",3,0.55,0.35,Y
PF3D7_0815000,PF3D7_0815000.1,"Pf3D7_08_v3:709,333..710,600(-)",selenoprotein,4,0.9,0.97,Y
PF3D7_0815300,PF3D7_0815300.1,"Pf3D7_08_v3:721,928..725,476(+)","FAD-dependent monooxygenase, putative",3,0.44,0.6,Y
PF3D7_0815700,PF3D7_0815700.1,"Pf3D7_08_v3:733,279..734,573(-)",ubiquitin,4,0.9,0.36,Y
PF3D7_0815900,PF3D7_0815900.1,"Pf3D7_08_v3:743,505..745,505(+)","dihydrolipoyl dehydrogenase, apicoplast",3,0.57,0.03,Y
PF3D7_0816600,PF3D7_0816600.1,"Pf3D7_08_v3:762,118..765,330(-)",chaperone protein ClpB1,4,0.73,0.58,Y
PF3D7_0817100,PF3D7_0817100.1,"Pf3D7_08_v3:774,299..776,791(+)","tRNA modification GTPase, putative",4,0.64,0.08,Y
PF3D7_0817500,PF3D7_0817500.1,"Pf3D7_08_v3:798,777..800,205(+)","protein kinase c inhibitor-like protein, putative",4,0.7,0.85,Y
PF3D7_0817800,PF3D7_0817800.1,"Pf3D7_08_v3:815,150..815,451(+)","conserved Plasmodium protein, unknown function",4,0.76,0.56,Y
PF3D7_0818600,PF3D7_0818600.1,"Pf3D7_08_v3:845,253..847,380(-)","BEM46-like protein, putative",4,0.79,0.65,Y
PF3D7_0819200,PF3D7_0819200.1,"Pf3D7_08_v3:871,410..873,440(+)",perforin-like protein 5,4,0.65,0.51,Y
PF3D7_0819400,PF3D7_0819400.1,"Pf3D7_08_v3:878,495..880,459(+)",perforin-like protein 4,4,0.71,0.11,Y
PF3D7_0820100,PF3D7_0820100.1,"Pf3D7_08_v3:909,207..910,716(-)","RNA-binding protein, putative",4,0.84,0.99,Y
PF3D7_0820300,PF3D7_0820300.1,"Pf3D7_08_v3:919,055..920,896(+)","conserved Plasmodium protein, unknown function",4,0.71,0.01,Y
PF3D7_0820600,PF3D7_0820600.1,"Pf3D7_08_v3:929,145..930,861(+)","conserved Plasmodium membrane protein, unknown function",4,0.79,0.89,Y
PF3D7_0820800,PF3D7_0820800.1,"Pf3D7_08_v3:936,426..938,876(-)","conserved Plasmodium protein, unknown function",4,0.85,0.94,Y
PF3D7_0822700,PF3D7_0822700.1,"Pf3D7_08_v3:1,000,981..1,003,755(-)","thrombospondin-related protein 1, putative",4,0.65,0.04,Y
PF3D7_0823600,PF3D7_0823600.1,"Pf3D7_08_v3:1,039,907..1,041,211(-)",lipoate-protein ligase B,3,0.61,0.36,Y
PF3D7_0825200,PF3D7_0825200.1,"Pf3D7_08_v3:1,093,690..1,094,489(+)",translation initiation factor IF-3,4,0.76,0.06,Y
PF3D7_0825700,PF3D7_0825700.1,"Pf3D7_08_v3:1,101,887..1,102,804(-)","conserved Plasmodium protein, unknown function",4,0.91,1,Y
PF3D7_0825800,PF3D7_0825800.1,"Pf3D7_08_v3:1,103,768..1,105,108(+)","conserved Plasmodium protein, unknown function",3,0.54,0.24,Y
PF3D7_0827400,PF3D7_0827400.1,"Pf3D7_08_v3:1,184,595..1,185,251(+)","conserved Plasmodium protein, unknown function",4,0.62,0.92,Y
PF3D7_0827500,PF3D7_0827500.1,"Pf3D7_08_v3:1,186,175..1,187,125(+)","apicoplast ribosomal protein L21 precursor, putative",3,0.54,0.17,Y
PF3D7_0827600,PF3D7_0827600.1,"Pf3D7_08_v3:1,187,623..1,192,925(-)","conserved Plasmodium protein, unknown function",3,0.7,0.95,Y
PF3D7_0827700,PF3D7_0827700.1,"Pf3D7_08_v3:1,193,847..1,196,678(-)","magnesium transporter, putative",4,0.69,0.65,Y
PF3D7_0827900,PF3D7_0827900.1,"Pf3D7_08_v3:1,206,788..1,208,394(-)",protein disulfide isomerase,4,0.72,0.99,Y
PF3D7_0828200,PF3D7_0828200.1,"Pf3D7_08_v3:1,216,271..1,220,716(+)","leucine--tRNA ligase, putative",4,0.61,0.83,Y
PF3D7_0828800,PF3D7_0828800.1,"Pf3D7_08_v3:1,237,285..1,239,501(-)",GPI-anchored micronemal antigen,4,0.86,0.99,Y
PF3D7_0829200,PF3D7_0829200.1,"Pf3D7_08_v3:1,254,558..1,255,376(+)","prohibitin, putative",3,0.47,0.08,Y
PF3D7_0829600,PF3D7_0829600.1,"Pf3D7_08_v3:1,269,135..1,269,647(+)",early transcribed membrane protein 8,4,0.75,0.99,Y
PF3D7_0830300,PF3D7_0830300.1,"Pf3D7_08_v3:1,290,240..1,291,406(-)",sporozoite invasion-associated protein 2,4,0.73,0.29,Y
PF3D7_0830400,PF3D7_0830400.1,"Pf3D7_08_v3:1,294,022..1,294,722(+)","CRA domain-containing protein, putative",4,0.88,0.61,Y
PF3D7_0830900,PF3D7_0830900.1,"Pf3D7_08_v3:1,317,600..1,318,341(-)","Plasmodium exported protein, unknown function",3,0.6,0.07,Y
PF3D7_0831300,PF3D7_0831300.1,"Pf3D7_08_v3:1,339,659..1,342,306(+)","Plasmodium exported protein, unknown function",3,0.59,0.01,Y
PF3D7_0831400,PF3D7_0831400.1,"Pf3D7_08_v3:1,344,405..1,345,487(-)","Plasmodium exported protein, unknown function",3,0.64,0.5,Y
PF3D7_0831600,PF3D7_0831600.1,"Pf3D7_08_v3:1,358,314..1,363,618(+)",cytoadherence linked asexual protein 8,4,0.91,0.26,Y
PF3D7_0831700,PF3D7_0831700.1,"Pf3D7_08_v3:1,365,467..1,367,506(-)",heat shock protein 70,4,0.76,0.74,Y
PF3D7_0831800,PF3D7_0831800.1,"Pf3D7_08_v3:1,374,236..1,375,299(-)",histidine-rich protein II,2,0.41,0.67,Y
PF3D7_0832000,PF3D7_0832000.1,"Pf3D7_08_v3:1,383,349..1,384,377(-)",stevor,4,0.67,0.31,Y
PF3D7_0832100,PF3D7_0832100.1,"Pf3D7_08_v3:1,386,625..1,387,882(-)","rifin, pseudogene",4,0.64,0.86,Y
PF3D7_0832400,PF3D7_0832400.1,"Pf3D7_08_v3:1,399,560..1,400,583(-)",stevor,4,0.88,0.93,Y
PF3D7_0832500,PF3D7_0832500.1,"Pf3D7_08_v3:1,402,567..1,403,711(-)",rifin,3,0.64,0.78,Y
PF3D7_0832600,PF3D7_0832600.1,"Pf3D7_08_v3:1,405,835..1,406,999(-)",stevor,4,0.71,0.14,Y
PF3D7_0832700,PF3D7_0832700.1,"Pf3D7_08_v3:1,408,571..1,409,356(+)","Plasmodium exported protein (PHISTa-like), unknown function, pseudogene",4,0.78,0.71,Y
PF3D7_0832900,PF3D7_0832900.1,"Pf3D7_08_v3:1,414,283..1,415,293(+)",stevor,4,0.72,0.84,Y
PF3D7_0833100,PF3D7_0833100.1,"Pf3D7_08_v3:1,420,818..1,422,077(-)",rifin,3,0.58,0.02,Y
PF3D7_0833200,PF3D7_0833200.1,"Pf3D7_08_v3:1,426,884..1,428,135(+)",rifin,4,0.71,0.85,Y
PF3D7_0833400,PF3D7_0833400.1,"Pf3D7_08_v3:1,432,696..1,433,932(+)",rifin,2,0.57,0.05,Y
PF3D7_0900300,PF3D7_0900300.1,"Pf3D7_09_v3:33,553..34,795(-)",rifin,4,0.62,0.79,Y
PF3D7_0900500,PF3D7_0900500.1,"Pf3D7_09_v3:42,909..44,045(-)",rifin,4,0.67,0.61,Y
PF3D7_0900700,PF3D7_0900700.1,"Pf3D7_09_v3:49,612..50,971(-)",rifin,4,0.65,0.53,Y
PF3D7_0900900,PF3D7_0900900.1,"Pf3D7_09_v3:55,074..56,081(-)",stevor,4,0.82,0.92,Y
PF3D7_0901000,PF3D7_0901000.1,"Pf3D7_09_v3:58,162..59,240(-)",rifin,4,0.79,0.98,Y
PF3D7_0901400,PF3D7_0901400.1,"Pf3D7_09_v3:70,521..71,738(+)",rifin,3,0.58,0.06,Y
PF3D7_0901500,PF3D7_0901500.1,"Pf3D7_09_v3:74,409..75,746(+)",rifin,2,0.61,0.26,Y
PF3D7_0901600,PF3D7_0901600.1,"Pf3D7_09_v3:77,861..78,874(+)",stevor,4,0.65,0.38,Y
PF3D7_0901700,PF3D7_0901700.1,"Pf3D7_09_v3:82,002..82,998(-)","Plasmodium exported protein (hyp5), unknown function",4,0.85,0.32,Y
PF3D7_0902000,PF3D7_0902000.1,"Pf3D7_09_v3:89,361..91,295(-)","serine/threonine protein kinase, FIKK family",3,0.57,0.08,Y
PF3D7_0902200,PF3D7_0902200.1,"Pf3D7_09_v3:98,175..100,339(-)","serine/threonine protein kinase, FIKK family",3,0.66,0.28,Y
PF3D7_0902400,PF3D7_0902400.1,"Pf3D7_09_v3:106,514..108,406(-)","serine/threonine protein kinase, FIKK family",3,0.55,0.14,Y
PF3D7_0902600,PF3D7_0902600.1,"Pf3D7_09_v3:113,409..115,549(-)","serine/threonine protein kinase, FIKK family",4,0.73,0.38,Y
PF3D7_0902800,PF3D7_0902800.1,"Pf3D7_09_v3:121,621..125,006(-)",serine repeat antigen 9,3,0.61,0.77,Y
PF3D7_0902900,PF3D7_0902900.1,"Pf3D7_09_v3:127,416..127,724(+)","conserved Plasmodium protein, unknown function",4,0.79,0.55,Y
PF3D7_0903800,PF3D7_0903800.1,"Pf3D7_09_v3:179,187..183,991(+)",LCCL domain-containing protein,4,0.8,0.92,Y
PF3D7_0904200,PF3D7_0904200.1,"Pf3D7_09_v3:197,867..198,816(+)","PH domain-containing protein, putative",4,0.88,0.98,Y
PF3D7_0904300,PF3D7_0904300.1,"Pf3D7_09_v3:199,051..207,458(-)","conserved protein, unknown function",3,0.52,0.04,Y
PF3D7_0904400,PF3D7_0904400.1,"Pf3D7_09_v3:208,168..208,725(-)","signal peptidase complex subunit 3, putative",4,0.73,0.34,Y
PF3D7_0904700,PF3D7_0904700.1,"Pf3D7_09_v3:218,675..219,462(-)",bacterial histone-like protein,4,0.8,0.99,Y
PF3D7_0905400,PF3D7_0905400.1,"Pf3D7_09_v3:270,740..274,789(-)",high molecular weight rhoptry protein 3,4,0.81,0.99,Y
PF3D7_0906200,PF3D7_0906200.1,"Pf3D7_09_v3:307,303..309,039(-)","conserved Plasmodium protein, unknown function",4,0.63,0.04,Y
PF3D7_0907800,PF3D7_0907800.1,"Pf3D7_09_v3:366,925..367,500(+)","ribosomal protein L35, apicoplast, putative",4,0.9,0.88,Y
PF3D7_0907900,PF3D7_0907900.1,"Pf3D7_09_v3:367,865..368,789(-)",peptide deformylase,4,0.75,0.86,Y
PF3D7_0908100,PF3D7_0908100.1,"Pf3D7_09_v3:373,762..375,586(-)","apicoplast integral membrane protein, putative",4,0.88,0.97,Y
PF3D7_0908300,PF3D7_0908300.1,"Pf3D7_09_v3:383,650..385,716(-)","conserved protein, unknown function",3,0.69,0.46,Y
PF3D7_0908300,PF3D7_0908300.2,"Pf3D7_09_v3:383,650..385,716(-)","conserved protein, unknown function",3,0.69,0.46,Y
PF3D7_0909200,PF3D7_0909200.1,"Pf3D7_09_v3:418,208..419,895(-)",GDP-fucose protein O-fucosyltransferase 2,4,0.81,0.99,Y
PF3D7_0909600,PF3D7_0909600.1,"Pf3D7_09_v3:433,238..435,373(-)","conserved Plasmodium protein, unknown function",3,0.7,0.31,Y
PF3D7_0910300,PF3D7_0910300.1,"Pf3D7_09_v3:475,671..476,969(+)","conserved Plasmodium protein, unknown function",4,0.58,0.93,Y
PF3D7_0910800,PF3D7_0910800.1,"Pf3D7_09_v3:494,163..495,506(+)","cytosolic Fe-S cluster assembly factor NBP35, putative",4,0.72,0.78,Y
PF3D7_0911300,PF3D7_0911300.1,"Pf3D7_09_v3:511,467..521,529(+)",cysteine repeat modular protein 1,4,0.8,0.66,Y
PF3D7_0911600,PF3D7_0911600.1,"Pf3D7_09_v3:529,912..531,444(+)","conserved Plasmodium protein, unknown function",4,0.79,0.29,Y
PF3D7_0911700,PF3D7_0911700.1,"Pf3D7_09_v3:532,341..535,598(+)","GTP-binding protein, putative",4,0.79,0.58,Y
PF3D7_0911900,PF3D7_0911900.1,"Pf3D7_09_v3:538,221..539,872(-)",falstatin,4,0.87,1,Y
PF3D7_0912200,PF3D7_0912200.1,"Pf3D7_09_v3:549,085..550,446(-)","conserved Plasmodium membrane protein, unknown function",4,0.69,0.44,Y
PF3D7_0912400,PF3D7_0912400.1,"Pf3D7_09_v3:551,426..553,167(-)","alkaline phosphatase, putative",4,0.78,0.89,Y
PF3D7_0913500,PF3D7_0913500.1,"Pf3D7_09_v3:582,340..583,968(-)","protease, putative",4,0.84,0.99,Y
PF3D7_0913700,PF3D7_0913700.1,"Pf3D7_09_v3:589,263..591,242(+)","conserved Plasmodium protein, unknown function",2,0.58,0.25,Y
PF3D7_0913900,PF3D7_0913900.1,"Pf3D7_09_v3:594,272..597,234(-)","arginine--tRNA ligase, putative",4,0.77,0.97,Y
PF3D7_0914000,PF3D7_0914000.1,"Pf3D7_09_v3:597,694..600,561(+)","pseudouridylate synthase, putative",3,0.62,0.93,Y
PF3D7_0914300,PF3D7_0914300.1,"Pf3D7_09_v3:612,976..615,492(-)","met-10+ like protein, putative",4,0.85,1,Y
PF3D7_0916200,PF3D7_0916200.1,"Pf3D7_09_v3:675,922..679,632(+)","conserved Plasmodium protein, unknown function",3,0.46,0.09,Y
PF3D7_0916300,PF3D7_0916300.1,"Pf3D7_09_v3:680,231..681,984(-)","conserved Plasmodium protein, unknown function",2,0.57,0.03,Y
PF3D7_0916500,PF3D7_0916500.1,"Pf3D7_09_v3:691,568..693,570(-)",ubiquitin fusion degradation protein 1,4,0.72,0.9,Y
PF3D7_0917200,PF3D7_0917200.1,"Pf3D7_09_v3:716,325..717,506(+)","conserved Plasmodium membrane protein, unknown function",3,0.48,0,Y
PF3D7_0917900,PF3D7_0917900.1,"Pf3D7_09_v3:737,985..740,276(+)",heat shock protein 70,4,0.86,1,Y
PF3D7_0918000,PF3D7_0918000.1,"Pf3D7_09_v3:742,494..743,684(-)",glideosome-associated protein 50,3,0.61,0.03,Y
PF3D7_0918200,PF3D7_0918200.1,"Pf3D7_09_v3:748,678..750,262(-)","50S ribosomal protein L3, apicoplast, putative",3,0.62,0.48,Y
PF3D7_0918400,PF3D7_0918400.1,"Pf3D7_09_v3:754,297..760,269(+)","conserved Plasmodium protein, unknown function",4,0.73,0.84,Y
PF3D7_0918800,PF3D7_0918800.1,"Pf3D7_09_v3:772,646..774,379(-)","dihydrouridine synthase, putative",4,0.78,0.01,Y
PF3D7_0919100,PF3D7_0919100.1,"Pf3D7_09_v3:786,156..788,212(+)","DnaJ protein, putative",4,0.47,0.72,Y
PF3D7_0919400,PF3D7_0919400.1,"Pf3D7_09_v3:795,539..797,470(+)",protein disulfide isomerase,3,0.64,0.02,Y
PF3D7_0919600,PF3D7_0919600.1,"Pf3D7_09_v3:800,703..802,136(+)","dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit, putative",4,0.7,0.54,Y
PF3D7_0920200,PF3D7_0920200.1,"Pf3D7_09_v3:827,730..830,681(-)","CS domain protein, putative",3,0.64,0.16,Y
PF3D7_0920300,PF3D7_0920300.1,"Pf3D7_09_v3:831,669..832,648(+)","conserved Plasmodium protein, unknown function",3,0.53,0.73,Y
PF3D7_0920600,PF3D7_0920600.1,"Pf3D7_09_v3:843,541..847,605(+)","conserved Plasmodium protein, unknown function",3,0.59,0.24,Y
PF3D7_0921400,PF3D7_0921400.1,"Pf3D7_09_v3:873,971..874,957(-)",NifU-like scaffold protein,4,0.61,0.05,Y
PF3D7_0922300,PF3D7_0922300.1,"Pf3D7_09_v3:905,998..908,357(+)","conserved Plasmodium protein, unknown function",2,0.51,0.13,Y
PF3D7_0922900,PF3D7_0922900.1,"Pf3D7_09_v3:936,868..938,345(-)",3-oxoacyl-[acyl-carrier-protein] reductase,4,0.66,0.25,Y
PF3D7_0923200,PF3D7_0923200.1,"Pf3D7_09_v3:944,126..946,468(+)","nitric oxide synthase, putative",3,0.57,0.03,Y
PF3D7_0923300,PF3D7_0923300.1,"Pf3D7_09_v3:947,033..949,498(+)",perforin-like protein 3,4,0.75,0.41,Y
PF3D7_0925100,PF3D7_0925100.1,"Pf3D7_09_v3:1,014,478..1,015,518(-)","conserved Plasmodium protein, unknown function",2,0.56,0,Y
PF3D7_0925300,PF3D7_0925300.1,"Pf3D7_09_v3:1,019,164..1,020,903(-)","proline--tRNA ligase, putative",4,0.79,0.74,Y
PF3D7_0925900,PF3D7_0925900.1,"Pf3D7_09_v3:1,040,713..1,041,516(+)","conserved Plasmodium protein, unknown function",4,0.89,1,Y
PF3D7_0926200,PF3D7_0926200.1,"Pf3D7_09_v3:1,063,053..1,063,208(+)","conserved Plasmodium protein, unknown function",4,0.74,0.61,Y
